restaurant_name,city,raw_category,section,menu_name,price,source_platform,source_url,search_keyword,extract_method,scraped_at
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Suki / Tomyum,30000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Steamboat,30000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,,Steam Dimsum,22000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,html_table,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,"Rekomendasi Dapur Larisz Momih, Pondok Jaya",Nasi Kebuli Dengan Tambahan Karee Ayam Berkuah,30000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,"Rekomendasi Dapur Larisz Momih, Pondok Jaya",Roti Maryam Dengan Taburan Coklat Meses,15000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,"Rekomendasi Dapur Larisz Momih, Pondok Jaya",Maryam Gunting With premium Chocolate N Honey,17000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,"Rekomendasi Dapur Larisz Momih, Pondok Jaya",Risol Yang Isinya Pasta Kentang Plus Wortel Yang Susyah Bikin Move On,5000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,"Rekomendasi Dapur Larisz Momih, Pondok Jaya",Ice Cream Lembut Dengan Lapisan Dan Taburan Oreo Dalam Cup Berukuran Sedang,20000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,"Rekomendasi Dapur Larisz Momih, Pondok Jaya",Ice Cream Super Lembut Dengan Variasi Oreo,15000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,"Rekomendasi Dapur Larisz Momih, Pondok Jaya",Roti Maryam Gurih Dengan Kuah Karee Daging Sapi Dan Acar,35000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Roti Maryam,Roti Maryam Dengan Taburan Keju Dan Susu,16000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Roti Maryam,Roti Maryam Yang Gurih Dengan Kuah Karee Yg Endolita,26000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Roti Maryam,Roti Maryam Dengan Variasi Coklat Meses Dan Keju Parut,18000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Roti Maryam,Gratis,25000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Roti Maryam,1 Pack Isi 5,30000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
"Dapur Larisz Momih, Pondok Jaya, Jakarta 2026",Jakarta,roti bakar / toast,Minuman Sueger,Pilihan Rasa Cocopandan Atau Strawberry,10000,MenuKuliner,https://menukuliner.net/menu/299721/dapur-larisz-momih-pondok-jaya,roti bakar,text_pattern,2026-04-28 03:07:28
